id                  ,label                              ,community           ,pr
-6483345718562739300,michael fallon                     ,-2209714333319565875,1.0000000000000004
-2968100763986270397,mohammed javad zarif               ,-5123806391895283158,1.0000000000000004
8938612814075982342 ,kara sea                           ,-5123806391895283158,1.0000000000000004
-8706916677913996911,patrick hodgins                    ,-2209714333319565875,1.0000000000000004
4436869293544605060 ,timor sea                          ,-6143583190690227608,1.0000000000000004
-5644081230126527937,mauricio savarese                  ,-2498084582014429470,1.0000000000000004
-2255399436524251984,robert speer                       ,-6817692648362739035,1.0000000000000004
-4300582705767753623,jim mattis                         ,-5123806391895283158,1.0000000000000004
-6917552673729649241,rob bishop                         ,-5123806391895283158,1.0000000000000004
-8111233901869538425,mia kyricos                        ,-5123806391895283158,1.0000000000000004
-7149142999481014549,alex lawler                        ,-5123806391895283158,1.0000000000000004
-6652933863730195076,laurie bobillot                    ,-7981629573227806010,1.0000000000000004
-2171465814280876030,mahmoud abbas                      ,-5123806391895283158,1.0000000000000004
8490498127424430453 ,ramzan kadyrov                     ,-5123806391895283158,1.0000000000000004
6951659756165809357 ,enele sopoaga                      ,-5123806391895283158,1.0000000000000004
4038455739488905858 ,federica mogherini                 ,-2209714333319565875,1.0000000000000004
1018642688190632507 ,don canton                         ,-6817692648362739035,1.0000000000000004
594453429778042053  ,mark cooper                        ,-5123806391895283158,1.0000000000000004
5186870195014903914 ,eric trump                         ,-5123806391895283158,1.0000000000000004
621769423853112643  ,boris nemtsov                      ,-5123806391895283158,1.0000000000000004
-5633579729100265687,mark zuckerberg                    ,-5123806391895283158,1.0000000000000004
-7075739384072536391,diosdado cabello                   ,-2498084582014429470,1.0000000000000004
-4014148296333369318,darren palmer                      ,-2209714333319565875,1.0000000000000004
2531286090920726071 ,david haines                       ,-2209714333319565875,1.0000000000000004
-380639843087160629 ,brian deese                        ,-5123806391895283158,1.0000000000000004
782645396902566231  ,dianne feinstein                   ,-2209714333319565875,1.0000000000000004
5188870395308200992 ,ed emmett                          ,-8778605200936573775,1.0000000000000004
758980103497961059  ,abu dhabi crown                    ,-3222624696690863942,1.0000000000000004
7871747628767178370 ,nicolas maduro                     ,-2498084582014429470,1.0000000000000004
2484325507448103072 ,d-los angeles                      ,-2209714333319565875,1.0000000000000004
7244244852953866925 ,paul ashworth                      ,-5888010320500233275,1.0000000000000004
4093862199957464441 ,jamie stengle                      ,-8778605200936573775,1.0000000000000004
-2965729282070997844,fayez al-sarraj                    ,1554551611396352462 ,1.0000000000000004
9034411090304042247 ,yukiya amano                       ,-4678795136086809460,1.0000000000000004
-5729020544562572248,wang yi                            ,-5123806391895283158,1.0000000000000004
-2912673077591054553,thomas j donohue                   ,-5123806391895283158,1.0000000000000004
8968304211594570857 ,dan sullivan                       ,-7981629573227806010,1.0000000000000004
-1898434984717323372,jeb bush                           ,-2376203089953264870,1.0000000000000004
-8960197832379606737,erich neitzke                      ,8132684862963203237 ,1.0000000000000004
-8659075139516535539,pete ricketts                      ,-5123806391895283158,1.0000000000000004
