source              ,target              ,articles
633087338846443428  ,-2196687321597242889,1189
633087338846443428  ,9187478992269786939 ,1539
648803521752926221  ,-554187375508143523 ,1012
1018642688190632507 ,-698633528624703244 ,1139
2995836344708591032 ,-5394155352991283277,1072
3016979562142190363 ,-4678795136086809460,1388
3018477597755113547 ,-1843037069962836581,1879
3789649937928275809 ,-2030977886066610622,1004
4396124940988717253 ,-2030977886066610622,1270
5292917381646499355 ,2958395493142850367 ,1210
6919108881676297410 ,-2597550477887731461,1004
7871747628767178370 ,-8460219923746299350,2642
8221521381664606233 ,4349773873657096066 ,1667
8632782506516917507 ,-8960197832379606737,2288
8670665194432039431 ,-8706916677913996911,1033
8741935759798039984 ,8521781164735264993 ,1339
9169138842085312889 ,-2876979887011961297,2021
-8987850060965433138,298627900943414666  ,1392
-8800856954420026473,4418623468891380562 ,1396
-8702971161602665376,-2498084582014429470,1184
-8322973427523912719,-6458167211260881370,1013
-5123806391895283158,8665137029853177390 ,1197
-3792228007270265448,1650545901460872628 ,1147
-3038304460437961862,6382886405921188060 ,1136
-2030977886066610622,8362159504359081991 ,1498
-1898434984717323372,7519218881764246375 ,2010
-1808812747603547780,4597615694092845789 ,1458
-1652469311467641984,6381873041093583154 ,1086
-645147010875212004 ,-5842301292766507296,1399
-554187375508143523 ,7538947819750950667 ,1127
476135616677260618  ,4364325953569386877 ,1803
476135616677260618  ,8001590646103101301 ,2194
633087338846443428  ,-5960365032131816100,2231
633087338846443428  ,1544717718399102752 ,1109
2082255006670207919 ,2068313584669147388 ,2288
2534425727654152746 ,-319213317550603216 ,2629
2784257201517212856 ,-5123806391895283158,4325
3031870671523911770 ,-319213317550603216 ,1078
4018041505326134685 ,-7952294823190575687,1533
4184381332395750060 ,-8987850060965433138,1705
4184381332395750060 ,1917756763019387826 ,1864
4598025016433322182 ,-2376203089953264870,9564
5106602221392741196 ,255048026679909788  ,1389
5148248206110164236 ,-2030977886066610622,3334
5148248206110164236 ,1943401871528076639 ,2220
5925519344790501494 ,-2030977886066610622,2818
7090419308735054832 ,-2376203089953264870,2217
7896318561185901276 ,-319213317550603216 ,1673
8333378779272360418 ,492098749013532362  ,1030
9187478992269786939 ,1917756763019387826 ,1288
-8529912235552352334,-645147010875212004 ,1959
-6382392143015061659,-441503973431915681 ,1125
-5123806391895283158,-5078956532520726013,1614
-5123806391895283158,-4110069703337102705,1118
-4383427925976837532,-319213317550603216 ,3236
-2710355389444326274,-4678795136086809460,1210
-2376203089953264870,-2209714333319565875,11318
-2209714333319565875,8046829184940935104 ,1210
-2171465814280876030,-4110069703337102705,1182
-2030977886066610622,-5378480904394717705,1641
-2030977886066610622,-1560252120881947258,1353
-1843037069962836581,7847643209716875905 ,1373
-1031268946513902603,-2209714333319565875,1854
-758527018290989534 ,1829182820780899682 ,2137
187123691878182345  ,7389133282601414282 ,1027
252755001403351534  ,6546948422644068577 ,2067
1832510329768604584 ,4598025016433322182 ,2430
2976762873055313603 ,-319213317550603216 ,1054
3210026725058173369 ,-4852392759553749001,1105
3392124192403595158 ,-4729589068185710698,1138
4418623468891380562 ,-2030977886066610622,3414
5690402462881397655 ,279376440014575588  ,1042
7576240094557435372 ,-6133912064376264177,1089
7637037118574180081 ,-2049965148602611775,1027
8665137029853177390 ,1098278059664356283 ,1313
8777361007022942590 ,-2721946395184879286,1065
-8422424525951467977,-319213317550603216 ,1699
-8165127369680017339,-2597550477887731461,1514
-7637287279631681353,-7952294823190575687,1233
-6917552673729649241,-319213317550603216 ,1774
-5123806391895283158,-7226412811198926859,1117
-5123806391895283158,-2876979887011961297,3753
-4729589068185710698,-1258665395754752430,1243
-4556773722901270402,8174476266717855933 ,1171
-3807661621276085826,-319213317550603216 ,1489
-3438100517334344641,-5123806391895283158,1362
-3034747171331345424,-9137191236732479290,2086
-2776212706572237214,-8709505537947231862,2213
-2209714333319565875,5925519344790501494 ,2531
-2158790193493657764,8877497976988909722 ,1268
-2030977886066610622,-6037475433742513966,1511
-2030977886066610622,-4797428766683497365,1202
-2030977886066610622,7117438024839016064 ,2292
-2030977886066610622,9086266514952383251 ,1001
-698633528624703244 ,-319213317550603216 ,8387
-352743772921911031 ,7288716698609910135 ,1072
-319213317550603216 ,5808937901564062267 ,1535
-204349356392618973 ,1098278059664356283 ,3675
1098278059664356283 ,-5888010320500233275,1201
1755457860918873138 ,-3489637993889021587,1010
1832510329768604584 ,-7360278664246742593,2438
1932551752666018672 ,-3222624696690863942,1467
2605366745580009142 ,6877548276407382121 ,1733
2848041216899638147 ,-7149142999481014549,1151
4024005794333692284 ,5679758924589637024 ,1578
4418623468891380562 ,9034411090304042247 ,1222
4598025016433322182 ,6382886405921188060 ,1450
5375312512869591172 ,-2498084582014429470,1776
6382886405921188060 ,-3222624696690863942,1107
6919108881676297410 ,-2876979887011961297,1492
7576154559661242380 ,-8310023719465909789,1329
7621232311076131365 ,-7695077803468780495,1336
7621232311076131365 ,-3463722585218783619,1570
8221521381664606233 ,8770548263920305041 ,1665
8465637361048996806 ,6382886405921188060 ,1377
8848501731074738718 ,-6817692648362739035,1239
-8800856954420026473,-2030977886066610622,2465
-8326039215255869096,-1808812747603547780,1520
-6032953878285540342,-1143221419536893729,1118
-4894173984603446875,-4678795136086809460,1712
-4714869850286056982,-2030977886066610622,1268
-4584259589746295249,-2030977886066610622,13253
-3489637993889021587,5669810817728340014 ,1040
-3115061109124204948,1520995045087008572 ,2067
-2209714333319565875,-3020210602665984071,1370
-2209714333319565875,1544717718399102752 ,2029
-2030977886066610622,-8300551750073803627,1275
-2030977886066610622,-7534767316327541722,5938
-2030977886066610622,5894814673196051032 ,3409
-1816866046870158706,-6817692648362739035,2252
-1803485448045374332,2330092998442649523 ,1110
-1097433810190742973,-942000369190037122 ,1692
-319213317550603216 ,1829182820780899682 ,1564
-319213317550603216 ,6915440518388851069 ,5233
-58081881544121599  ,476135616677260618  ,1327
648803521752926221  ,633087338846443428  ,1219
922999064520858995  ,-4001722324483238694,1866
1098278059664356283 ,2330092998442649523 ,1541
1673031328778730547 ,-2209714333319565875,1417
2207951181910596230 ,-9046669626393335991,1427
3018477597755113547 ,-8354583715484812084,1407
3424178161097764301 ,-319213317550603216 ,3501
3628073587866111761 ,4250204249271760289 ,1107
4418623468891380562 ,9164093149223641419 ,1388
5925519344790501494 ,4018041505326134685 ,1388
6091689289007310276 ,3815815919996108488 ,1927
6232840699060590306 ,-1861103706999304260,1031
6381873041093583154 ,-2030977886066610622,16577
6382886405921188060 ,-1854280877140085794,5120
6382886405921188060 ,2784257201517212856 ,5713
7871747628767178370 ,5049959027086869363 ,2967
8670665194432039431 ,-2030977886066610622,3744
-7515309291958133185,1832510329768604584 ,1332
-7512783134188039914,-2209714333319565875,1041
-6552020793992789682,-6150731274223034299,1379
-5123806391895283158,-7512783134188039914,1405
-4797428766683497365,-2030977886066610622,1202
-4389296294014978424,-2891625488335467163,1153
-4001722324483238694,-6950990616566973209,5838
-2209714333319565875,-1031268946513902603,1854
-2171465814280876030,-5123806391895283158,1997
-2030977886066610622,187123691878182345  ,3637
-2030977886066610622,2534425727654152746 ,1021
-2030977886066610622,3789649937928275809 ,1004
-2030977886066610622,4047807845302405442 ,1688
-1808812747603547780,2207334016565055949 ,1029
-319213317550603216 ,-3038304460437961862,1425
-319213317550603216 ,-3020728983800038379,1972
-319213317550603216 ,-1842418496910161609,4430
-232442968513540034 ,-1843037069962836581,4718
187123691878182345  ,-232442968513540034 ,2236
476135616677260618  ,-8644651080114709438,1374
1932551752666018672 ,5690402462881397655 ,2073
3668838806884381306 ,-645147010875212004 ,1074
3815815919996108488 ,-5546905861789152862,1958
4184381332395750060 ,7538947819750950667 ,1016
5938483825255926276 ,-2255399436524251984,1066
6382886405921188060 ,4008734897837165765 ,1695
7490588149625952520 ,6381873041093583154 ,4393
7519218881764246375 ,6382886405921188060 ,1766
8521781164735264993 ,-4116353207224457088,2324
9181171295236226766 ,6132887020992818052 ,1140
-8987850060965433138,-2209714333319565875,1744
-8800856954420026473,-5028022412942399129,1238
-8046596491379678834,-2446107919545999447,1093
-7997757466815276871,-319213317550603216 ,1582
-7695077803468780495,-9137191236732479290,1836
-6152157406336332429,-2967655140625897205,1143
-4852392759553749001,-4894173984603446875,1973
-4383427925976837532,1832510329768604584 ,1354
-3922507348792021692,-1898434984717323372,2880
-3020210602665984071,-1652469311467641984,1231
-2868799911054493240,-58081881544121599  ,1168
-2498084582014429470,-8460219923746299350,1578
-2378702456246833943,-5960365032131816100,1167
-1731027801387243744,176533384470667199  ,1080
-977966794734927473 ,-319213317550603216 ,9146
-698633528624703244 ,-2030977886066610622,3830
-441503973431915681 ,6382886405921188060 ,2540
-232442968513540034 ,1960007279431588856 ,1221
358803945599325659  ,-2209714333319565875,1128
360482089417387317  ,5938483825255926276 ,1973
633087338846443428  ,6132887020992818052 ,7134
3653050014644792415 ,-2968100763986270397,1053
4524033390885294559 ,1518177732294748175 ,1136
4689682543636010177 ,-8709505537947231862,3147
5501004649970139844 ,6891633248965691680 ,1123
6132887020992818052 ,-9143715679620637947,1102
6381873041093583154 ,-4499519178490962713,2307
6382886405921188060 ,8770548263920305041 ,4223
7538947819750950667 ,-1808812747603547780,1165
7637037118574180081 ,6306074510567183512 ,1346
8132684862963203237 ,-2234739453058822859,2288
8217712736364394548 ,-6557087886148043414,1296
8221521381664606233 ,187123691878182345  ,3101
9086266514952383251 ,-319213317550603216 ,10972
-7695077803468780495,-3463722585218783619,2683
-7689864187072814445,-8310023719465909789,1097
-7515309291958133185,3018477597755113547 ,1232
-7512783134188039914,2784257201517212856 ,1433
-7170442259137058980,1832510329768604584 ,1299
-5650405956671312793,-2234739453058822859,1356
-5498033252587944938,-6595160185608557450,1020
-5123806391895283158,-6696118242953841843,2291
-5123806391895283158,5690402462881397655 ,1503
-4584259589746295249,-7952294823190575687,1944
-4467744812416310249,196225144506262727  ,2447
-3926529187290102665,6382886405921188060 ,1632
-2209714333319565875,-4894173984603446875,1857
-2138437462078074953,-2030977886066610622,1081
-2030977886066610622,-5888010320500233275,1653
-2030977886066610622,4758619683741518573 ,1274
-319213317550603216 ,351689780619130825  ,3265
189750312857630485  ,-319213317550603216 ,1578
476135616677260618  ,-5644081230126527937,2699
476135616677260618  ,-2868799911054493240,13068
633087338846443428  ,-8354583715484812084,1567
1868154508237823227 ,-5498033252587944938,1019
1901963416073961874 ,-6950990616566973209,1270
2713566996931415631 ,621769423853112643  ,1049
3018477597755113547 ,-2209714333319565875,2748
4184381332395750060 ,7622153264349607146 ,1039
5745090389146023302 ,-2030977886066610622,2968
5805385331953026650 ,6071396418810432554 ,1286
7622153264349607146 ,-4389296294014978424,1854
7622153264349607146 ,-2209714333319565875,1260
7871747628767178370 ,-2030977886066610622,9344
8693094688026702427 ,4282139899318826593 ,1348
9169138842085312889 ,-3222624696690863942,1323
9181171295236226766 ,-4389296294014978424,1003
-9154042248315997889,-232442968513540034 ,1839
-8960197832379606737,-1264356401435835211,2288
-8960197832379606737,8632782506516917507 ,2288
-7724929033795123330,-5123806391895283158,2894
-7534767316327541722,-2209714333319565875,1541
-7531676124604896595,-5078956532520726013,1912
-7185019324071561359,633087338846443428  ,1286
-6817692648362739035,7621232311076131365 ,1888
-6527875328048058380,7490588149625952520 ,1488
-5825783656841140364,9181171295236226766 ,1466
-5451732678002101533,7871747628767178370 ,1047
-5123806391895283158,-7360278664246742593,1166
-5123806391895283158,-554187375508143523 ,1804
-5078956532520726013,-319213317550603216 ,2149
-4852392759553749001,-7356281588370713987,1267
-3034908872723999323,-2030977886066610622,2822
-2759353068949435074,6132887020992818052 ,1861
-2453076685057440212,-5123806391895283158,2142
-2292005235093902488,-319213317550603216 ,1116
-2030977886066610622,-7789283960893038307,6855
-2030977886066610622,644795234380659357  ,1092
-2030977886066610622,5375312512869591172 ,1226
-1854280877140085794,-703758798842958219 ,1106
-1843037069962836581,-4584259589746295249,1399
-1350285718846657076,8174476266717855933 ,1220
-758527018290989534 ,-7307499440247746056,1044
-603155051097730115 ,-319213317550603216 ,1213
-441503973431915681 ,-5246192327499103042,1155
-319213317550603216 ,972166625298665897  ,1473
-232442968513540034 ,-7952294823190575687,6765
-232442968513540034 ,-4383427925976837532,1415
-73500730170830284  ,-441503973431915681 ,2990
360482089417387317  ,7621232311076131365 ,1519
1098278059664356283 ,-1852196532463439303,1512
1395096736277627200 ,-2209714333319565875,2022
3016979562142190363 ,-2030977886066610622,1133
4184381332395750060 ,1098278059664356283 ,1199
4997528300297830977 ,7632495519982556382 ,1245
5706353703463528776 ,2068313584669147388 ,2269
5745090389146023302 ,-2376203089953264870,1075
6342774253820456939 ,-3982908020687971013,1033
6382886405921188060 ,2330092998442649523 ,1089
8086321949898543665 ,-2030977886066610622,3438
8354133301109015038 ,-319213317550603216 ,1769
8848501731074738718 ,5938483825255926276 ,1239
-8288940420225851572,-498940439488347009 ,1035
-7981629573227806010,196225144506262727  ,1584
-7724929033795123330,-977966794734927473 ,1151
-7448063912344252572,6891633248965691680 ,1039
-5123806391895283158,176533384470667199  ,1306
-3222624696690863942,1932551752666018672 ,1467
-2446107919545999447,-6032953878285540342,2994
-2209714333319565875,-3438100517334344641,1923
-2209714333319565875,1895831117862637425 ,1048
-2158790193493657764,-2209714333319565875,1157
-1854280877140085794,-6559970940915010976,2753
-319213317550603216 ,-7637287279631681353,1679
-319213317550603216 ,-1646135939329321629,1075
-232442968513540034 ,-2209714333319565875,12146
67129535048934305   ,-2030977886066610622,3832
1829182820780899682 ,-4678795136086809460,1298
1832510329768604584 ,-8354583715484812084,3435
4598025016433322182 ,1832510329768604584 ,2430
6382886405921188060 ,-6032953878285540342,2139
6382886405921188060 ,9034411090304042247 ,2621
6700158222676742348 ,-319213317550603216 ,1390
7490588149625952520 ,-6380341718939214796,1135
7538947819750950667 ,8221521381664606233 ,1053
7622153264349607146 ,-9143715679620637947,1108
7871747628767178370 ,-554187375508143523 ,1401
8231688985140977271 ,1271790729568061379 ,1718
8984620194342160184 ,7335818529221202219 ,1207
9014183989093063301 ,-4300582705767753623,1013
-9156255397278359948,-4654810087828893219,1037
-8354583715484812084,8221521381664606233 ,1392
-8288940420225851572,8777361007022942590 ,1257
-7531676124604896595,-319213317550603216 ,3281
-6862812080889638013,648803521752926221  ,1192
-6817692648362739035,-1816866046870158706,2252
-6150731274223034299,-2209714333319565875,1181
-6037475433742513966,5679758924589637024 ,1028
-5633579729100265687,-2030977886066610622,1054
-5123806391895283158,-7241306346921812835,2189
-5123806391895283158,-1031268946513902603,1212
-4678795136086809460,-5123806391895283158,3156
-4389296294014978424,-6150731274223034299,1109
-4119471098201915446,1832510329768604584 ,2213
-4110069703337102705,-2171465814280876030,1182
-2868799911054493240,-4001722324483238694,1611
-2573317583224643731,5669810817728340014 ,1158
-2498084582014429470,-6403456506570260016,1664
-2237566934801120401,-319213317550603216 ,1092
-2209714333319565875,1943401871528076639 ,4767
-2209714333319565875,5010943181244269133 ,2335
-2030977886066610622,-6921004375998832904,2307
-2030977886066610622,-2322882221466225088,1312
-2030977886066610622,5186870195014903914 ,1015
-1854280877140085794,1932551752666018672 ,2814
-1854280877140085794,6382886405921188060 ,5120
-841256001430469459 ,-441503973431915681 ,1737
-758527018290989534 ,-6671140351889828938,1172
-352743772921911031 ,4282139899318826593 ,1511
-319213317550603216 ,-2703590578204645970,1654
-232442968513540034 ,7090419308735054832 ,1573
-195293542193935170 ,-8354583715484812084,1276
1395096736277627200 ,-1652469311467641984,1960
1832510329768604584 ,3018477597755113547 ,1281
1932551752666018672 ,-4729589068185710698,3395
2484325507448103072 ,1239823298764786415 ,1713
2784257201517212856 ,-2209714333319565875,2987
5091350508916130398 ,-2030977886066610622,1001
7637037118574180081 ,-6037475433742513966,1028
9181171295236226766 ,-4110069703337102705,1011
-8800856954420026473,-1842418496910161609,1797
-3463722585218783619,7961587406411262285 ,2039
-2378702456246833943,-2030977886066610622,1260
-2376203089953264870,-8354583715484812084,1003
-2209714333319565875,-3466288976667784699,4333
-2209714333319565875,779128267551182966  ,1427
-2030977886066610622,-8865401506527013369,1124
-2030977886066610622,1215002096928707874 ,2281
-1803485448045374332,-319213317550603216 ,1359
-1086463102053860736,-8111233901869538425,3204
-554187375508143523 ,-441503973431915681 ,1034
-441503973431915681 ,-1266629959247391147,1003
-319213317550603216 ,6381873041093583154 ,8522
-195293542193935170 ,1832510329768604584 ,7542
420550103407222207  ,8086321949898543665 ,1192
1673031328778730547 ,6382886405921188060 ,1392
1829182820780899682 ,4184381332395750060 ,1141
2873133290080674816 ,6382886405921188060 ,4625
4160025932225395479 ,-5123806391895283158,1153
4420057763900089647 ,8064149031820047117 ,2550
5938483825255926276 ,-7695077803468780495,1910
6611336480032655854 ,-7789283960893038307,1014
7490588149625952520 ,-2030977886066610622,9291
7538947819750950667 ,8339635973745217819 ,2268
8848501731074738718 ,-240221642038059400 ,1245
-8354583715484812084,-319213317550603216 ,8016
-7910751992240669385,-8709505537947231862,2268
-7542946480976962834,7538947819750950667 ,2118
-6817692648362739035,8344494712559261140 ,1239
-6537585967691811672,-2030977886066610622,1064
-5358653244239667776,-2030977886066610622,1077
-4389296294014978424,6132887020992818052 ,2069
-3034747171331345424,-3587018700784064825,1966
-2597550477887731461,6058238438453287039 ,1256
-2209714333319565875,-7764520725921474676,5958
-2030977886066610622,-5044865441892422651,4337
-2030977886066610622,-3295792317031217963,2178
-1958301884448221452,5745090389146023302 ,3197
-1843037069962836581,-8354583715484812084,3207
-1843037069962836581,1832510329768604584 ,1771
-753292883416164054 ,1239823298764786415 ,3195
-319213317550603216 ,-1434719837809636368,1420
-232442968513540034 ,912560556694041014  ,1200
-195293542193935170 ,6008067634782732883 ,1878
67129535048934305   ,-6370465169341461479,1308
476135616677260618  ,595508346171031917  ,1750
1215002096928707874 ,377008304198672281  ,1188
1943401871528076639 ,5148248206110164236 ,2220
2873133290080674816 ,-319213317550603216 ,8845
2873133290080674816 ,1932551752666018672 ,1139
4671722935545266065 ,922999064520858995  ,1541
6382886405921188060 ,3111672688651582693 ,1125
6891633248965691680 ,4356211918290286401 ,1336
6991482002228067947 ,9030877580491562914 ,1101
8221521381664606233 ,7538947819750950667 ,1053
8632782506516917507 ,2082255006670207919 ,2288
-8800856954420026473,-3926529187290102665,1344
-8706916677913996911,-1808812747603547780,1911
-7997757466815276871,-7515309291958133185,1047
-5378480904394717705,-5123806391895283158,1497
-5123806391895283158,-3295792317031217963,1140
-5123806391895283158,4184381332395750060 ,2349
-4729589068185710698,-5123806391895283158,9743
-4678795136086809460,9034411090304042247 ,2352
-3650651969813047305,-2209714333319565875,1144
-2325711285380119741,-329177663098512984 ,1782
-2209714333319565875,2873133290080674816 ,2849
-2030977886066610622,-4383427925976837532,5883
-2030977886066610622,3018477597755113547 ,5284
-2030977886066610622,7184966688894900522 ,1145
-1843037069962836581,-1652469311467641984,1059
-1843037069962836581,4184381332395750060 ,1318
-1843037069962836581,6381873041093583154 ,3809
-1669859730989940941,-5123806391895283158,5494
-758527018290989534 ,1932551752666018672 ,1778
-758527018290989534 ,3392124192403595158 ,2981
-441503973431915681 ,-8987850060965433138,2544
-441503973431915681 ,1023364959377668689 ,3355
808498422582749051  ,-319213317550603216 ,1321
1215002096928707874 ,8299787979116023539 ,1195
1932551752666018672 ,-4783468811997181895,1017
1943401871528076639 ,-319213317550603216 ,3384
2784257201517212856 ,-6547665733824167393,1143
2995836344708591032 ,7132280360170479124 ,3322
3848027836917258983 ,4250204249271760289 ,1128
4253976106295478409 ,6382886405921188060 ,1091
5538930853338555913 ,1098278059664356283 ,1106
6132887020992818052 ,-1842418496910161609,4892
6258419706765604539 ,-2030977886066610622,1203
7425471216720826696 ,-6817692648362739035,2438
7538947819750950667 ,-1243501230651233498,1408
7871747628767178370 ,7924808882512459872 ,1261
8770548263920305041 ,6382886405921188060 ,4223
8938612814075982342 ,-5123806391895283158,1108
9014183989093063301 ,8221521381664606233 ,1003
-9154042248315997889,-319213317550603216 ,3901
-8714613529726824628,-5358653244239667776,1449
-8499908249375507275,-1861103706999304260,1024
-8245114520466503739,1832510329768604584 ,1077
-5123806391895283158,-7724929033795123330,2894
-4678795136086809460,-2209714333319565875,2228
-2498084582014429470,-4146951702412223009,1361
-2209714333319565875,-2376203089953264870,11318
-2209714333319565875,-2158790193493657764,1157
-2049965148602611775,4093862199957464441 ,1027
-2030977886066610622,-8983639325499901787,1203
-2030977886066610622,2330092998442649523 ,10249
-1873384486558189896,4024005794333692284 ,1731
-1843037069962836581,6100524139813431632 ,1050
-942256357442469323 ,-2030977886066610622,2033
-554187375508143523 ,-1652469311467641984,1074
-319213317550603216 ,-6559970940915010976,1827
-319213317550603216 ,-441503973431915681 ,12306
922999064520858995  ,-6950990616566973209,4386
1932551752666018672 ,2784257201517212856 ,1981
1943401871528076639 ,-2030977886066610622,1443
4184381332395750060 ,1829182820780899682 ,1141
4282139899318826593 ,-5123806391895283158,2355
5148248206110164236 ,-2376203089953264870,3265
5690402462881397655 ,1215002096928707874 ,1893
5745090389146023302 ,-2209714333319565875,3088
6031366450910913483 ,4306804722558609636 ,2176
6382886405921188060 ,-2968100763986270397,1404
7090419308735054832 ,-3922507348792021692,1101
7871747628767178370 ,2119354951289933627 ,2006
8132684862963203237 ,2068313584669147388 ,2288
8335183430390726244 ,1732022312676159896 ,1165
8505632942591836846 ,7814452207850699285 ,1135
8543269953637669811 ,-8311584980666851264,1244
-9136938695385269239,-8354583715484812084,1483
-8705540068739447259,-1575684124537842350,1111
-8499908249375507275,7637037118574180081 ,1770
-7764520725921474676,-319213317550603216 ,3904
-7515309291958133185,-5123806391895283158,2065
-7360278664246742593,-319213317550603216 ,3845
-7185019324071561359,-5123806391895283158,1626
-6817692648362739035,3815815919996108488 ,3225
-6559970940915010976,-4678795136086809460,4854
-5546905861789152862,-3136933928667018684,1973
-5378480904394717705,-2030977886066610622,1641
-5123806391895283158,6877548276407382121 ,1132
-4389296294014978424,-7241306346921812835,1073
-4383427925976837532,4282139899318826593 ,1337
-4225374835328451288,-319213317550603216 ,1122
-3466288976667784699,-1652469311467641984,1167
-2284657221715940484,6428672766244521100 ,2244
-2209714333319565875,4018041505326134685 ,2776
-2030977886066610622,6382886405921188060 ,6165
-1843037069962836581,633087338846443428  ,1631
-1264356401435835211,8132684862963203237 ,2288
-554187375508143523 ,8660984676203185851 ,1105
-319213317550603216 ,-758527018290989534 ,4641
-232442968513540034 ,-1898434984717323372,4252
431963907788558117  ,1098278059664356283 ,1480
912560556694041014  ,-232442968513540034 ,1200
1239823298764786415 ,2484325507448103072 ,1713
1502858863154387400 ,3719110628098336769 ,1439
1932551752666018672 ,-6212011444670596833,1478
2605366745580009142 ,-3922507348792021692,1033
4093862199957464441 ,-8778605200936573775,1032
5010943181244269133 ,-2030977886066610622,1280
5925519344790501494 ,-7952294823190575687,1156
5938483825255926276 ,-6817692648362739035,5731
5938483825255926276 ,-1216926964751179433,2030
6132887020992818052 ,-2030977886066610622,2068
6132887020992818052 ,8221521381664606233 ,1386
6382886405921188060 ,-1652469311467641984,2353
6947547608906196067 ,7538947819750950667 ,3851
7637037118574180081 ,6232840699060590306 ,1037
8344494712559261140 ,8848501731074738718 ,1253
8693094688026702427 ,-319213317550603216 ,1600
8848501731074738718 ,7621232311076131365 ,1233
-8778605200936573775,-6037475433742513966,1028
-6976615727978322933,90275451384712336   ,1281
-6380341718939214796,-4595461474310074429,1029
-6270542319968030505,-1898434984717323372,1154
-5729020544562572248,2330092998442649523 ,1175
-5358653244239667776,5049959027086869363 ,1115
-5246192327499103042,-441503973431915681 ,1155
-4389296294014978424,1917756763019387826 ,1314
-4225374835328451288,-73500730170830284  ,1036
-2485068596468117733,-4678795136086809460,1058
-2158790193493657764,6342774253820456939 ,1120
-2030977886066610622,-6032953878285540342,8857
-2030977886066610622,-5842301292766507296,9057
-2030977886066610622,12410057707899824   ,1130
-2030977886066610622,7090419308735054832 ,3229
-1843037069962836581,-4678795136086809460,1141
-1808812747603547780,-554187375508143523 ,1632
-1652469311467641984,5148248206110164236 ,2146
-1652469311467641984,8770548263920305041 ,2996
-1258665395754752430,4250204249271760289 ,1192
-798982772758647182 ,6546948422644068577 ,1405
-758527018290989534 ,6132887020992818052 ,2305
-703758798842958219 ,-1854280877140085794,1106
-441503973431915681 ,-1031268946513902603,12649
-319213317550603216 ,-8934932909377289061,1307
-319213317550603216 ,-6212011444670596833,1015
-319213317550603216 ,594453429778042053  ,1903
3031870671523911770 ,6071396418810432554 ,1600
3815815919996108488 ,8344494712559261140 ,1240
4024005794333692284 ,7637037118574180081 ,1583
4047807845302405442 ,6700158222676742348 ,1096
4706356666700410987 ,-319213317550603216 ,2302
6382886405921188060 ,8445944091966627728 ,1253
6382886405921188060 ,8521781164735264993 ,2087
6537151015827973909 ,-319213317550603216 ,1341
6700158222676742348 ,-2395062809228361683,1125
6868110971464094423 ,-8111233901869538425,3204
6868110971464094423 ,5745090389146023302 ,3204
6877548276407382121 ,5148248206110164236 ,2095
-9154042248315997889,-2209714333319565875,2712
-7952294823190575687,-2030977886066610622,5312
-7695077803468780495,7621232311076131365 ,1336
-6406004153667163617,-319213317550603216 ,2234
-5123806391895283158,648803521752926221  ,2053
-4714869850286056982,-319213317550603216 ,1870
-4678795136086809460,633087338846443428  ,1099
-4383427925976837532,-232442968513540034 ,1415
-3587018700784064825,8857432932656682524 ,1779
-2514445114590479996,-2030977886066610622,1297
-2030977886066610622,-1258665395754752430,1743
-2030977886066610622,1731868121115529840 ,1401
-2030977886066610622,1932551752666018672 ,6420
-2030977886066610622,1999713366976756022 ,1293
-1854280877140085794,-2030977886066610622,2458
-1203650273977838851,-6671140351889828938,1157
-319213317550603216 ,3867665940551658973 ,1418
-232442968513540034 ,-5358653244239667776,1299
621769423853112643  ,2713566996931415631 ,1049
633087338846443428  ,-1731027801387243744,1614
2082255006670207919 ,-1264356401435835211,2288
2605366745580009142 ,-2209714333319565875,1963
4786022390837510082 ,7538947819750950667 ,1747
6132887020992818052 ,-6150731274223034299,1338
6132887020992818052 ,-758527018290989534 ,2305
6382886405921188060 ,-6559970940915010976,1058
6382886405921188060 ,-2030977886066610622,6165
6611336480032655854 ,7490588149625952520 ,1027
7632495519982556382 ,4997528300297830977 ,1245
8735549545327376262 ,-319213317550603216 ,1988
-8245114520466503739,-319213317550603216 ,2767
-8087340096537787169,-5285211027918953228,1159
-7724929033795123330,633087338846443428  ,1079
-7512783134188039914,-2171465814280876030,1036
-7456849817323352874,-319213317550603216 ,1077
-7237872945662242169,7502968584168722053 ,1104
-5960365032131816100,-2378702456246833943,1167
-5123806391895283158,-7789283960893038307,1923
-5123806391895283158,1932551752666018672 ,9353
-5044865441892422651,-3438100517334344641,1500
-4300582705767753623,-5123806391895283158,1564
-3463722585218783619,-7695077803468780495,2683
-3438100517334344641,-2030977886066610622,5094
-3034747171331345424,-240221642038059400 ,1599
-2209714333319565875,3673172251135641489 ,1400
-2030977886066610622,-3020210602665984071,1451
-2030977886066610622,-2514445114590479996,1297
-2030977886066610622,3673172251135641489 ,1388
-1898434984717323372,1832510329768604584 ,1030
-1652469311467641984,-1898434984717323372,3252
-1031268946513902603,1023364959377668689 ,2565
-319213317550603216 ,-4202918837552311470,1250
-319213317550603216 ,1239823298764786415 ,2643
-319213317550603216 ,7896318561185901276 ,1673
-232442968513540034 ,2873133290080674816 ,1949
475327060407514070  ,8217712736364394548 ,1296
633087338846443428  ,-7241306346921812835,1881
633087338846443428  ,8221521381664606233 ,3080
1395096736277627200 ,-2030977886066610622,1881
1816234862579105910 ,-3587018700784064825,2623
3043621579077480904 ,-2209714333319565875,1684
4420057763900089647 ,-4110069703337102705,2618
6381873041093583154 ,-2678760656895736205,1010
