source              ,target              ,articles
6382886405921188060 ,-5729020544562572248,3198
6611336480032655854 ,-2030977886066610622,5757
6877548276407382121 ,7490588149625952520 ,1706
7318603150464814803 ,-2498084582014429470,1038
7871747628767178370 ,-5862124489111824165,2371
8299787979116023539 ,-2876979887011961297,1315
8354133301109015038 ,-4119471098201915446,1948
9034411090304042247 ,-1854280877140085794,1472
-8983639325499901787,-2030977886066610622,1203
-8778605200936573775,4093862199957464441 ,1032
-7531676124604896595,6382886405921188060 ,1110
-7512783134188039914,-4894173984603446875,1289
-6950990616566973209,-2868799911054493240,4969
-6547665733824167393,-8987850060965433138,6242
-6079544356918891432,-6664691230212547061,9542
-5123806391895283158,9036656099340829831 ,8546
-4894173984603446875,-4584259589746295249,1312
-4329752469668364679,-319213317550603216 ,1025
-2891625488335467163,-2030977886066610622,2581
-2044860810365040296,-319213317550603216 ,1454
-2030977886066610622,-240221642038059400 ,2726
-2030977886066610622,5148248206110164236 ,3334
-2030977886066610622,6915440518388851069 ,3354
-1102485679631625452,-2209714333319565875,1619
-319213317550603216 ,-4119471098201915446,2109
-319213317550603216 ,5580127268651913566 ,1374
476135616677260618  ,-6950990616566973209,16891
492098749013532362  ,8333378779272360418 ,1030
2330092998442649523 ,633087338846443428  ,2716
4024005794333692284 ,-9095532847110449034,1012
4484300585804250915 ,5706353703463528776 ,1470
4598025016433322182 ,-7456849817323352874,1333
5602245785061237038 ,2007965506053575896 ,1296
7538947819750950667 ,-2073640711574498772,2625
8221521381664606233 ,-5123806391895283158,3107
8324416576011001427 ,-1842418496910161609,1026
8665137029853177390 ,180534794879450371  ,1075
8770548263920305041 ,2784257201517212856 ,1321
9086266514952383251 ,6382886405921188060 ,1761
-8354583715484812084,-195293542193935170 ,1276
-6921004375998832904,-2030977886066610622,2307
-6212011444670596833,6382886405921188060 ,1166
-6150731274223034299,-5960365032131816100,1395
-5470782197706017503,-4852392759553749001,1991
-5321712199454861998,-4467744812416310249,1865
-5123806391895283158,-1731027801387243744,3663
-4678795136086809460,6919108881676297410 ,2494
-2209714333319565875,-5123806391895283158,14527
-2209714333319565875,-3039287807637284542,1288
-2030977886066610622,-7189858928044189094,1970
-2030977886066610622,-319213317550603216 ,91013
-2030977886066610622,7490588149625952520 ,9291
-1652469311467641984,-319213317550603216 ,17392
-1589286033025909364,523098992404713312  ,1259
-1258665395754752430,6382886405921188060 ,2878
-645147010875212004 ,-8529912235552352334,1959
-319213317550603216 ,-5378480904394717705,1159
633087338846443428  ,-232442968513540034 ,1231
1932551752666018672 ,4008734897837165765 ,1595
1932551752666018672 ,8886822588958539707 ,3852
2873133290080674816 ,-4678795136086809460,2661
3968009107423201800 ,7621232311076131365 ,1534
4184381332395750060 ,-6547665733824167393,1169
5169039416945786504 ,1239823298764786415 ,1276
6132887020992818052 ,6382886405921188060 ,3897
6132887020992818052 ,9181171295236226766 ,1140
7007229769699816714 ,-319213317550603216 ,1366
7490588149625952520 ,6611336480032655854 ,1027
7622153264349607146 ,-2030977886066610622,2507
7871747628767178370 ,-860406776216032713 ,1149
-8354583715484812084,6381873041093583154 ,1177
-6950990616566973209,4364325953569386877 ,1220
-6133912064376264177,-2209714333319565875,1589
-5801313175022607534,-319213317550603216 ,4448
-5123806391895283158,-6212011444670596833,2866
-5123806391895283158,-1669859730989940941,5494
-5028022412942399129,-5123806391895283158,1504
-5028022412942399129,-319213317550603216 ,1638
-4595461474310074429,-2376203089953264870,2381
-2891625488335467163,-758527018290989534 ,2467
-2196687321597242889,6382886405921188060 ,1496
-2158790193493657764,-5053485538010045794,1079
-2030977886066610622,-4029203011630584403,1540
-2030977886066610622,-204349356392618973 ,1179
-2030977886066610622,5925519344790501494 ,2818
-1854280877140085794,2873133290080674816 ,1414
-1808812747603547780,-3115061109124204948,2090
-1731027801387243744,-4729589068185710698,1304
-441503973431915681 ,-5826150201794399626,1399
-441503973431915681 ,4184381332395750060 ,1395
-319213317550603216 ,-3401558106062925973,1122
-319213317550603216 ,476135616677260618  ,2319
475327060407514070  ,5602245785061237038 ,1296
633087338846443428  ,-1808812747603547780,1231
648803521752926221  ,-1337208025705228071,1194
779128267551182966  ,-2209714333319565875,1427
2082255006670207919 ,-5650405956671312793,1356
5679758924589637024 ,6232840699060590306 ,1628
6915440518388851069 ,3815815919996108488 ,1007
7637037118574180081 ,4024005794333692284 ,1583
7871747628767178370 ,7423561033629485258 ,1037
9090640783522498836 ,-6950990616566973209,1650
-8659075139516535539,-4320916854537293366,1116
-7952294823190575687,-4584259589746295249,1944
-5729020544562572248,-319213317550603216 ,1802
-5028022412942399129,6132887020992818052 ,1009
-4389296294014978424,-319213317550603216 ,1546
-3222624696690863942,9169138842085312889 ,1323
-2891625488335467163,4184381332395750060 ,2016
-2158790193493657764,-8288940420225851572,2209
-2030977886066610622,-4389296294014978424,2669
-2030977886066610622,-232442968513540034 ,19672
-2030977886066610622,6112367272880199254 ,1326
-1898434984717323372,-319213317550603216 ,7267
-966112708407853123 ,922999064520858995  ,1276
-758527018290989534 ,-2209714333319565875,1916
-594195357039030174 ,-5123806391895283158,1457
-554187375508143523 ,-2171465814280876030,1020
-319213317550603216 ,-3800629854907606350,1827
67129535048934305   ,-2710939004853945403,1108
360482089417387317  ,-3463722585218783619,1991
633087338846443428  ,-5028022412942399129,1047
1098278059664356283 ,-2030977886066610622,10539
1943401871528076639 ,7090419308735054832 ,1102
2338338228961608296 ,5745090389146023302 ,3213
4250204249271760289 ,-1258665395754752430,1192
4598025016433322182 ,-319213317550603216 ,8834
4914867161379547062 ,1297010197430591288 ,1038
5690402462881397655 ,-4678795136086809460,1312
6091689289007310276 ,-319213317550603216 ,1776
6381873041093583154 ,-5123806391895283158,1206
7519218881764246375 ,-1031268946513902603,1145
